CODART;LIBART;STKALE;STKPHY;QTEANN;UNIMES
B001;Bande magnétique 1200;20;87;240;unit�
B002;Bande magnétique 6250;20;12;410;unite
D035;CD R slim 80 mm;40;42;150;B010
D050;CD R-W 80mm;50;4;0;B010
I100;Papier 1 ex continu;100;557;3500;B1000
I105;Papier 2 ex continu;75;5;2300;B1000
I108;Papier 3 ex continu;200;557;3500;B500
I110;Papier 4 ex continu;10;12;63;B400
P220;Pré-imprimé commande;500;2500;24500;B500
P230;Pré-imprimé facture;500;250;12500;B500
P240;Pré-imprimé bulletin paie;500;3000;6250;B500
P250;Pré-imprimé bon livraison;500;2500;24500;B500
P270;Pré-imprimé bon fabrication;500;2500;24500;B500
R080;ruban Epson 850;10;2;120;unite
R132;ruban impl 1200 lignes;25;200;182;unite
